variant_id,card,variant,price,stock,image
47890717933803,The White Stone of Ancients (LCKC-EN011)  Secret Rare,Near Mint - 1st Edition,6499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161937.jpg?v=1772691808
47890717901035,The Monarchs Stormforth (LCKC-EN093)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162019.jpg?v=1772691802
47890717868267,The King of D. (LCKC-EN107)  Secret Rare,Near Mint - 1st Edition,4499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162033.jpg?v=1772691797
47890717835499,The Flute of Summoning Dragon (LCKC-EN027)  Secret Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161953.jpg?v=1772691789
47890717802731,The Fang of Critias (LCKC-EN037)  Ultra Rare,Near Mint - 1st Edition,3499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161963.jpg?v=1772691783
47890717769963,Terraforming (LCKC-EN090)  Secret Rare,Near Mint - 1st Edition,1999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162016.jpg?v=1772691778
47890717737195,Spell Reproduction (LCKC-EN045)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161971.jpg?v=1772691772
47890717671659,Soul Exchange (LCKC-EN038)  Ultra Rare,Near Mint - 1st Edition,3499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161964.jpg?v=1772691766
47890717245675,Silver's Cry (LCKC-EN034)  Secret Rare,Near Mint - 1st Edition,4499.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161960.jpg?v=1772691760
47890717212907,Shrink (LCKC-EN043)  Ultra Rare,Near Mint - 1st Edition,2999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161969.jpg?v=1772691754
47890717180139,Ring of Destruction (LCKC-EN050)  Ultra Rare,Near Mint - 1st Edition,18999.00,0,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161976.jpg?v=1772691748
47890717147371,Ring of Defense (LCKC-EN033)  Ultra Rare,Near Mint - 1st Edition,1199.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161959.jpg?v=1772691742
47890717114603,Rider of the Storm Winds (LCKC-EN017)  Ultra Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161943.jpg?v=1772691736
47890717081835,Protector with Eyes of Blue (LCKC-EN013)  Ultra Rare,Near Mint - 1st Edition,2999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161939.jpg?v=1772691729
47890717016299,Priestess with Eyes of Blue (LCKC-EN016)  Secret Rare,Near Mint - 1st Edition,3999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161942.jpg?v=1772691723
47890716983531,Parrot Dragon (LCKC-EN096)  Ultra Rare,Near Mint - 1st Edition,2499.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/162022.jpg?v=1772691717
47890716950763,Neutron Blast (LCKC-EN041)  Secret Rare,Near Mint - 1st Edition,1599.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161967.jpg?v=1772691711
47890716917995,Mirror Force Dragon (LCKC-EN062)  Ultra Rare,Near Mint - 1st Edition,1999.00,1,https://cdn.shopify.com/s/files/1/0797/1219/0699/files/161988.jpg?v=1772691705
